,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
1/21/2024,"1,299.9","1,264.7","1,247.1","1,205.2","1,175.2","1,160.0","1,163.9","1,125.8","1,195.7","1,212.2","1,281.3","1,322.6","1,345.0","1,369.4","1,372.3","1,376.4","1,370.1","1,365.5","1,383.3","1,390.4","1,410.7","1,427.1","1,391.5","1,350.7"
1/22/2024,"1,319.8","1,281.1","1,239.3","1,209.6","1,188.7","1,227.9","1,278.6","1,436.9","1,549.2","1,617.1","1,659.8","1,692.1","1,727.6","1,777.9","1,767.6","1,759.5","1,709.0","1,563.4","1,567.7","1,570.2","1,551.0","1,543.4","1,505.0","1,441.6"
1/23/2024,"1,361.6","1,296.9","1,248.2","1,213.7","1,195.5","1,222.0","1,264.0","1,413.2","1,538.9","1,598.0","1,674.2","1,700.6","1,737.3","1,775.7","1,803.6","1,786.7","1,717.4","1,575.8","1,560.0","1,566.0","1,563.9","1,535.4","1,513.5","1,442.3"
1/24/2024,"1,375.3","1,320.5","1,262.6","1,215.5","1,205.1","1,230.2","1,259.1","1,388.4","1,487.9","1,585.3","1,658.1","1,690.9","1,712.5","1,758.4","1,796.0","1,785.2","1,733.8","1,611.8","1,600.4","1,587.3","1,561.1","1,541.8","1,503.4","1,439.8"
1/25/2024,"1,371.7","1,319.1","1,271.4","1,238.6","1,205.4","1,203.4","1,238.7","1,403.6","1,528.0","1,611.4","1,668.3","1,730.7","1,732.5","1,780.9","1,788.8","1,781.0","1,727.6","1,591.8","1,565.3","1,556.9","1,531.4","1,512.2","1,480.1","1,422.9"
1/26/2024,"1,344.0","1,293.3","1,222.8","1,200.9","1,163.5","1,172.6","1,219.7","1,383.3","1,487.1","1,569.2","1,636.7","1,655.1","1,706.5","1,737.0","1,757.2","1,738.0","1,684.1","1,556.3","1,546.7","1,545.8","1,514.2","1,481.6","1,443.8","1,386.8"
1/27/2024,"1,325.2","1,271.0","1,227.7","1,186.7","1,145.5","1,149.6","1,160.5","1,220.0","1,314.7","1,401.4","1,485.7","1,491.0","1,506.2","1,523.4","1,506.8","1,497.9","1,477.1","1,434.2","1,474.9","1,466.8","1,445.4","1,424.5","1,405.8","1,366.9"
1/28/2024,"1,320.7","1,268.6","1,229.7","1,197.0","1,161.4","1,138.3","1,136.1","1,115.9","1,140.5","1,216.6","1,259.7","1,278.2","1,303.6","1,327.9","1,318.9","1,321.9","1,324.6","1,287.9","1,357.0","1,380.1","1,392.1","1,393.2","1,367.0","1,328.7"
1/29/2024,"1,280.7","1,235.3","1,194.6","1,165.9","1,143.5","1,162.1","1,220.1","1,385.5","1,494.6","1,586.8","1,629.2","1,661.8","1,684.8","1,720.1","1,728.2","1,708.9","1,659.4","1,542.2","1,513.1","1,511.8","1,505.1","1,490.4","1,449.4","1,391.6"
1/30/2024,"1,319.5","1,269.7","1,224.2","1,194.0","1,171.4","1,169.0","1,223.3","1,365.6","1,456.8","1,535.6","1,582.2","1,612.1","1,616.6","1,660.3","1,656.3","1,633.1","1,605.0","1,491.4","1,468.6","1,467.7","1,448.7","1,439.1","1,409.8","1,370.0"
